,tweet_RER_A,heure_du_tweet
0,fin de stationnement à val de fontenay . le train repart en direction de marne - la - vallée – chessy ( malaise voyageur ). rera rt rer a,2020-12-11 15:08:29
1,nos agents examinent la situation sur place ( malaise voyageur ). rera rt rer a,2020-12-11 15:03:18
2,le train actuellement à val de fontenay et en direction de marne - la - vallée – chessy stationne en raison de l ' actionne …,2020-12-11 15:00:11
3,a de rien bon courage a vous,2020-12-11 14:42:17
4,jsp pour vous mais je viens de finir une partie candy crush a 600 millions de score ptdr chui reste agrippé sur mo …,2020-12-11 14:39:29
5,le train actuellement au vésinet - le pecq et en direction de marne - la - vallée – chessy stationne en raison d ' une gêne à …,2020-12-11 14:35:21
6,c ’ est qui qui a oublier son sac à main à la maison et qui vient de s ’ en rendre compte dans le rer ? c ’ est dydyyyyyy ! ‍️,2020-12-11 14:32:23
7,coucou a juste pour vous informer que la porte de la cabine du deuxième train qiwi qui vient de quitter vincen …,2020-12-11 14:30:10
8,coucou a juste pour vous informer que la porte de la cabine du deuxième train qiwi qui vient de quitter vincennes est ouverte .,2020-12-11 14:27:25
9,"quand je suis arrivé à paris , en 1982 , ce rer b , dont le tronçon central venait d ' être ouvert , semblait une merveil …",2020-12-11 14:08:37
10,les opposants au cdgexpress ont réussi ... à bloquer la modernisation du rer b ! chapeau ! quand des populistes vi …,2020-12-11 14:08:07
11,"quand je suis arrivé à paris , en 1982 , ce rer b , dont le tronçon central venait d ' être ouvert , semblait une merveil …",2020-12-11 14:06:50
12,"des consignes à vélo veligo sont prévues dans ce secteur , de même qu ' à l ' autre station de la ligne 14 à saint - ouen …",2020-12-11 13:43:45
13,"le nouvel an donne lieu à des grands rassemblements , nous le savons bien . si l ' on suit la logique du gouvernement (…",2020-12-11 13:43:16
14,dans le rer a il y a vraiment de très belles femmes .. n ’ en déplaise aux autres rer .,2020-12-11 13:42:38
15,annonce de vente : maison poissy 5 pièce ( s ) 126 m2 - poissy |: a 20 min à pied de la gare rer / sncf de poissy dans u …,2020-12-11 13:38:03
16,donc là je prend le rer au bout de 1 mois et demi et il y a des gens qui ont toujours pas compris qu ’ il fallait por …,2020-12-11 13:30:45
17,c ’ est toujours quand t ’ es en retard que le métro et rer se ferment et partent sous tes yeux . 2 fois de suite à attendre 6 min j ’ ai la haine,2020-12-11 13:23:06
18,"les transports c ' était trop trop puissant pour ça pour rappel à l ' époque j ' étais à evry , j …",2020-12-11 13:18:14
19,a bye,2020-12-11 12:52:54
20,la responsabilité pèse sur la sncf si les travaux de modernisation sont moins sexy . les travaux sont …,2020-12-11 12:44:13
21,"putain , c ' est pas compliqué , le rer on se pose là où tout le monde à poser son cul , on touche tout ??? le musée on …",2020-12-11 12:33:13
22,"ouais t ’ as un grand carrefour pour tes courses et c ’ est bien desservi , après t ’ es à 35 min de paris en rer …",2020-12-11 12:16:34
23,️ le trafic est perturbé de rueil - malmaison vers marne - la - vallée – chessy en raison de personnes sur les voies à rue …,2020-12-11 12:00:11
24,this rer a is so fucking irritating . god needs to deliver me from this commute,2020-12-11 11:59:40
25,on peut aussi ajouter à ce constat que la puissance publique ne sait / peut plus se mettre en exécution ( pas uniqueme …,2020-12-11 11:51:23
26,le train actuellement à rueil - malmaison et en direction de marne - la - vallée – chessy stationne en raison de personnes …,2020-12-11 11:46:44
27,j ’ ai même pas le rer d qui a glow up,2020-12-11 11:42:25
28,eh mais y ’ a le chauffage dans les rer d où y ’ a le port usb putain je revis,2020-12-11 11:25:42
29,"j ' ai pas accès à l ' article , mais le ton laisse penser que si le chantier du cdg express est arrêté ,…",2020-12-11 11:21:01
30,depeche toi de revenir de ton bled toi y ’ a le rer qui t ’ attend,2020-12-11 11:15:55
31,samsoen placer la santé avant la culture c ' est de l …,2020-12-11 10:53:01
32,13 incroyable j ’ suis dans le rer a ça charge pas j ’ arrive pas à lire ta connerie,2020-12-11 10:43:42
33,soyons demain à 14h30 pour manifester contre les lois liberticides et contre l ' islamophobie …,2020-12-11 10:43:09
34,a a mon avis c ' est quelque chose qu ' il faudrait reprendre dans toute l ' ile de france et pas uniquement sur le rer a ...,2020-12-11 10:32:54
35,à rien p - ê sur un dreux ils vont équiper opti - conduite sur l ’ axe du rer c pontoise - massy & amp ; pour fonct …,2020-12-11 10:30:59
36,a c ’ est vrais que ces panneaux sont vraiment supers,2020-12-11 10:25:08
37,la poutre de 300 tonnes qui s ’ est écroulée le 1er décembre sur les voies du rer c entre les stations austerlitz et …,2020-12-11 09:59:52
38,je ne suis pas assez folle pour aller sur paris en voiture et puis j ’ habite à 30 min avec le rer,2020-12-11 09:55:12
39,poutre effondrée sur le rerc à paris : la sncf envisage une reprise du trafic lundi 14 décembre …,2020-12-11 09:42:17
40,poutre effondrée sur le rerc à paris : la sncf envisage une reprise du trafic lundi 14 décembre,2020-12-11 09:40:21
41,donc là y ' a une dame au tel dans le rer qui s ' est assise à côté de moi et qui raconte que son mari a eu le covid ok,2020-12-11 09:37:58
42,le rer c ' est l ' enfer a vos portes qui le supporte encore les maures apostrophes humour,2020-12-11 09:27:48
43,annonce de vente : maison andrésy 3 pièce ( s ) 39 . 55 m2 * secteur fin d ' oise .! rer a - andresy |…,2020-12-11 09:17:33
44,"a mon avis le temps de trajet par la ligne 14 est incorrect , il faut déjà 15 min de st lazare à olymp …",2020-12-11 09:11:29
45,"c est plus ke ds le cinéma , sa fait 2 semaines ke ns vivons cela depuis l incident d rer c à paris austerli …",2020-12-11 08:52:03
46,le rer a quand il est à nanterre il aime trop démarrer 20 minutes après rt saitamaashi,2020-12-11 08:47:17
47,"« une technique rarissime a été employée , le "" système crossover "", utilisée pour le tunnel sous la manche . cela cons …",2020-12-11 08:29:10
48,loky sncf après je connais moins bien le rer c que le réseau psl . sur ps …,2020-12-11 08:29:05
49,"eole "" ce n ' est pas un chantier mais 10 en même temps » dixit dir d ' opération du secteur défense . c …",2020-12-11 08:28:12
50,figaro m interdire de faire de la piscine mais m autoriser à mettre mes équipes dans un rer bondé !,2020-12-11 08:22:53
51,kash mdrrrrrr si je lui ressemblais je twitterai pas du rer a direction ce travail mais merci,2020-12-11 08:21:08
52,my life is a joke ma relation avec le rer d aura vraiment été une relation toxique jusqu ' au bout,2020-12-11 07:55:05
53,"mais va bien te faire enculer le rer d . tous les jours , je dis bien tous les jours y a un truc . ça fait 1 semaine j …",2020-12-11 07:50:40
54,le train actuellement à noisiel et en direction de saint - germain - en - laye stationne en raison de l ' actionnement d ' un …,2020-12-11 07:42:50
55,"[ save the mate ] après la video sur cyberpunk2077 recommlandée par , tenter l ' itw d ' anand pandian . l '…",2020-12-11 07:25:07
56,no joke je regardais mon tel à cause de toi je viens de rater mon arrêt de rer,2020-12-11 07:24:33
57,"a sncf sncf t4 sncf nomad bonjour , bonjour ;)",2020-12-11 07:23:05
58,8 : 21 à 2 doigts de twerker dans le rer,2020-12-11 07:21:25
59,des voyageurs qui remportent leur trajet sur la ligne de du rer ? les trains sont bondés sans possibilité de respec …,2020-12-11 06:30:57
60,"bonjour , votre train poma circule actuellement avec un retard d ' environ 5 minutes en conséquence d ' une …",2020-12-11 06:27:55
61,a bonjour et merci beaucoup pour le nouveau panneaux de desserte,2020-12-11 06:25:51
62,"trouvez vos cadeaux et votre repas de noël à saint - maur ! les parkings du marché d ' adamville , diderot , la louvi …",2020-12-11 06:00:00
63,le club de l @ mobilité sur et trafic en direct …,2020-12-11 05:56:01
64,faut le titan bestial pour les 2 ( il a tjrs le wagon du rer d derrière la tête ),2020-12-11 02:24:17
65,anecdote 2014 - 2015 : avant je bosser à st denis ( gabriel péri ) et tout les jours je prenais le rer d après je prena …,2020-12-11 01:06:02
66,fuck le rer là j ' en ai trop marre y a des gens qui puent partout et ça ça me rend fou putaaaaaaiiiiiiiin,2020-12-11 00:59:08
67,je viens de voir mes memories y ’ a 1 ans jour pour jour le bébé qui est née dans le rer d à villeneuve il a eu 1 ans …,2020-12-11 00:18:24
68,le stationnement velo ça devient sérieux : les besoins sont réestimés par centaines de places . aux six - routes 330 …,2020-12-10 23:54:05
69,a demande au mécano d isolé la porte en attendant,2020-12-08 13:47:14
70,"bonjour a , il n ' y a pas d ' assistance lorsque l ' on ouvre la porte sur la 1516 d2 , mission zupe actuellement a n …",2020-12-08 13:45:16
71,« deh » ???? ptdrrrr mais le cm du rer a il est trop à l ’ aise,2020-12-08 13:40:36
72,a,2020-12-08 13:29:02
73,a qui se cache derrière ce cm ?,2020-12-08 13:26:38
74,le rer d c ’ est vraiment quelque chose y a un duo qui se roulent un joint sans pression en criant tout fort,2020-12-08 13:16:35
75,tu prends le rer à à 8h pour faire cergy - paris gare de lyon le temps que t ' arrive c ' est déjà l ' heure de déjeuner,2020-12-08 13:13:35
76,a a bon ? comment tu sais que je vis chez mes parents alors ?…,2020-12-08 13:12:13
77,a mashallah merci tu regardes mes vidéos,2020-12-08 13:10:24
78,le trafic est rétabli entre la défense et poissy ( incident de signalisation ). rera rt rer a,2020-12-08 13:03:49
79,kelly je vous suggère d ’ être auditionnée non pas à l ’ assemblée nationale mais publiquement dans le rer b …,2020-12-08 12:50:36
80,a baby face dit - il mdr vas y bonne journée,2020-12-08 12:46:47
81,a ah mais mdr je viens regarder ta pp omg t ’ as 10 ans j ’ en ai …,2020-12-08 12:39:17
82,a zong zong zong zong apaise ton cœur mon frère ou ma sœur bonne journée à toi boussa,2020-12-08 12:38:13
83,alors y ’ avait un mec dans le rer à côté de moi omg extrêmement perturbée,2020-12-08 12:35:06
84,j ’ aime bien le fait que les cm de certaines grandes entreprises soient décomplexées et nous parle comme des potes c …,2020-12-08 12:28:25
85,a tfouuu ??,2020-12-08 12:20:16
86,a c ’ est sans doute à l ’ ancienne en 2012 / 2013,2020-12-08 12:16:22
87,a « la ligne deh »,2020-12-08 12:16:01
88,a mdr alors la aucune idée demande lui,2020-12-08 12:15:39
89,a de quoi tu parles,2020-12-08 12:14:52
90,wshhh le cm du rer a il a trop était influencé par ses passagers,2020-12-08 12:11:51
91,a ah ouais je venais de me réveiller chuteeeeee bon en attenda …,2020-12-08 12:09:54
92,je ss dans le rer a guetter je vois quoi ma pote elle a crus c ’ était des sabots,2020-12-08 11:57:59
93,le trafic est rétabli entre saint - germain - en - laye et boissy - saint - léger • marne - la - vallée – chessy ( bagage oublié ).…,2020-12-08 11:34:29
94,"quand tu appelles 1 salarié covid +, sensé être à la maison , qui te répond : "" je vous entends mal , je suis à châtele …",2020-12-08 11:30:11
95,"on commence à 8h30 , 8h10 elle toujours dans le rer e",2020-12-08 11:29:08
96,le chauffeur du rer a entre gare de lyon et châtelet à 11 : 15 & lt ; 3,2020-12-08 11:21:56
97,a dors mdr,2020-12-08 11:17:06
98,j ’ me rappel dans le rer y ’ avais un tonton il mangeait des clémentines mais je pense il avait juste soif pck il mâch …,2020-12-08 11:17:02
99,a ok . a houilles / carrières - sur - seine on a dit à une dame qu ' il fallait que la personne se déplace ... c ' est just …,2020-12-08 11:08:26
100,"bonjour , en effet , le trafic est perturbé sur l ' ensemble de la ligne , en répercussion notamme …",2020-12-08 11:07:28
101,bonjour a vous n ' avez pas de pince pour récupérer les objets tombés sur les voies en gare ? du coup faut atte …,2020-12-08 11:02:10
102,"bonjour don , je comprends . un bagage oublié est à l ' origine de cette perturbation . les rer annoncés ne t …",2020-12-08 10:48:24
103,️ le trafic est perturbé sur l ' ensemble de la ligne en raison d ' un incident de signalisation à poissy et d ' un baga …,2020-12-08 10:33:21
104,a chut libre même le frérot,2020-12-08 10:31:32
105,jdois aller cherchez un colis à paris mais fuck rer c rt 50lo2,2020-12-08 10:31:17
106,c ’ était y a qqs mois dans le metro y avait un groupe de mecs qui me suivait depuis un moment et ils me faisaient su …,2020-12-08 10:31:03
107,"bonjour a , les trains en gare de nation vont - ils jusqu ’ à la défense suite à la répercussion de l ’ incident survenu auparavant ? merci .",2020-12-08 10:28:12
108,️ le trafic reprend progressivement entre auber et nation ( bagage oublié ). rera rt rer a,2020-12-08 10:18:52
109,"tns bonjour tns , je vous le confirme , les trains réalisent leurs manouvres de retournement à nation …",2020-12-08 10:17:50
110,le trafic est interrompu entre auber et nation en raison d ' un bagage oublié à gare de lyon . reprise estimée à 12 : 15 . rera rt rer a,2020-12-08 10:13:40
111,"a il est pas perturbé , il est coupé . merci de décrire réellement la situation pour vous éviter de nous agglutiner inutilement .",2020-12-08 10:12:25
112,️ le trafic est perturbé en direction de marne - la - vallée – chessy • boissy - saint - léger en raison d ' un bagage oublié …,2020-12-08 10:09:32
113,nos agents sont actuellement sur place pour examiner la situation . nous vous tenons informé de son évolution dès qu …,2020-12-08 10:02:18
114,le train actuellement à gare de lyon et en direction de torcy stationne en raison d ' un bagage oublié . rera rt rer a,2020-12-08 09:58:09
115,"ⓐ - panne de signalisation ☞ mardi 8 décembre 2020 à 10h45 , en raison d ' une panne de signalisation , le trafic est …",2020-12-08 09:48:50
116,a alors oui il y en a un . ils ont remarqué un bg incroyable sur la voie,2020-12-08 09:47:58
117,on est où la ? station ouakam où rer a,2020-12-08 09:45:34
118,️ le trafic est perturbé entre la défense et poissy en raison d ' un incident de signalisation à poissy . rera rt rer a,2020-12-08 09:43:39
119,a chaque fois que j ’ arrive à la gare de sevran j ’ ai peur qu ’ un rat monte dans le rer,2020-12-08 09:41:01
120,a ptdrrrr oh chui morte,2020-12-08 09:39:01
121,"bonjour à vous deux , la mission taxe33 est arrivée avec du retard à poissy , ce qui impacte effe …",2020-12-08 09:35:22
122,pas regarder animé dans le rer j ’ étais à de pleurer,2020-12-08 09:13:23
123,"bon a cause du rer b , je vais peut être arriver en retard pour le 2eme jours de taff rt link8894",2020-12-08 09:11:38
124,…,2020-12-08 09:10:22
125,je serai demain 9 décembre à 9h30 devant le siège 39 - 41 rue de chateaudun paris9 pour protester con …,2020-12-08 09:07:06
126,"embrouille entre quartier à corbeil . je me suis retrouvé dans le rer d , avec une dizaine de gars autour de moi et y …",2020-12-08 09:02:46
127,mesures de sécurité ligne1 et rera : une station de métro fermée sur les champsélysées à paris rt actufrparis,2020-12-08 08:58:12
128,le train actuellement à nanterre – préfecture et en direction de poissy stationne en raison d ' un incident d ' exploitation . rera rt rer a,2020-12-08 08:57:10
129,mesures de sécurité ligne1 et rera : une station de métro fermée sur les champsélysées à paris,2020-12-08 08:56:55
130,le train actuellement à achères – ville et en direction de boissy - saint - léger stationne en raison d ' un incident voyageur . rera rt rer a,2020-12-08 08:35:28
131,comment le covid - 19 a boosté le développement du réseau de pistes cyclables en ile - de - france | 5 premières lignes d …,2020-12-08 08:18:01
132,le rer a il a quoi ? pourquoi il est aussi lent tous les jours ? tu sors tranquille t ’ arrives en retard pour rien . c ’ est abusé,2020-12-08 08:07:02
133,leur nouvelle stratégie est de vendre ( personnels inclus ) les parties non rentable comme les branche te …,2020-12-08 08:03:25
134,y ’ a une brésilienne qui embrouille son mec dans le rer d c ’ est clairement terrible,2020-12-08 07:53:01
135,c ’ est incroyable quand même d ’ avoir des rer vides à 8h30,2020-12-08 07:30:28
136,j ’ espère que y ’ aura pas de problème avec le rer c pour aller à epinay rt awa78,2020-12-08 07:30:12
137,20 min a pied jusqu ’ au rer a mais suffisant pour niquer mon sty ’ e,2020-12-08 07:11:29
138,"ⓐ - panne d ' un train ( 1 ) ☞ mardi 8 décembre 2020 à 08h06 , en raison d ' un train en panne , le trafic est perturbé d …",2020-12-08 07:09:32
139,️ le trafic est perturbé en direction de saint - germain - en - laye en répercussion d ' une panne mécanique à charles de …,2020-12-08 07:02:15
140,je me réveille je découvre 2 nouveaux buzz la lecture est douce à moi dans le rer,2020-12-08 06:48:37
141,le rer a si y a pas un pb par jour il meurt,2020-12-08 06:31:55
142,un daronne bizarre c ’ est assis à côté de moi dans le rer vide et elle fait des signes bizarre et elle arrive pas à tenir en place sah,2020-12-08 06:10:37
143,a d ’ accord merci . bonne journée milo,2020-12-08 05:52:41
144,"bonjour , sur l ’ application sncf il est indiqué qu ’ il y a aucun rer b en circulation . y a t - il bien des port r …",2020-12-08 05:52:09
145,a bonjour ! le trafic a repris normalement ?,2020-12-08 05:49:27
146,"bonjour emilie , en effet et c ' est la vérité , les retards sont de l ' ordre de 8 à 12 minutes en direc …",2020-12-08 05:48:47
147,"sncf bonjour , à partir de quel jour le rer c sera dispo entre savigny / orge et bfm ? merci",2020-12-08 05:39:14
148,sncf l ’ absence de rer c m ’ oblige à emprunter votre ligne pour m ’ avancer vers choisy le roi,2020-12-08 05:38:32
149,"restless bonjour , ce train circulant justement avec + de 20 mins de retard cumulé , sans aucune mesure prise …",2020-12-08 05:32:19
150,"j ’ viens de voir une daronne se moucher avec conviction dans son masque avant de le remettre , notre rer d a du talent",2020-12-08 16:01:54
151,a cayo le cm a craqué,2020-12-08 15:24:02
152,ptdr encore heureux parce que je comptais archi pas respecter . c ’ est bon tu sors y a des gens sans masque dans la r …,2020-12-08 15:17:48
153,la circulation du rer c perturbée au moins jusqu ’ à mi - décembre,2020-12-08 15:13:32
154,a oui merciii bonne journée,2020-12-08 15:10:21
155,a celui direction cergy le haut c ’ est un uzel on arrive à la défense,2020-12-08 15:08:41
156,ok donc j ' avais vu un joint abandonné dans le rer et j ' ai vraiment hésité à le prendre ? j ' suis autant en dèche de …,2020-12-08 15:03:19
157,dites au conducteur du rer à d ’ allumer les lumières wsh cest quoi ça dans les tunnels il fais tous noir,2020-12-08 15:03:02
158,"pas de rer , à l ' heure de pointe j ' avais déjà du mal à entrer avec ma trottinette quand j ' ét …",2020-12-08 15:00:38
