;tweet_RER_D;heure_du_tweet
0;3km d ' écart entre ces 2 lieux et l ' opération était exactement la même , désolé si la population …;2020-12-11 15:18:59
1;le rer d il emmène en enfer je crois c ’ est terrible le monde;2020-12-11 15:16:34
2;le train actuellement à val de fontenay et en direction de marne - la - vallée – chessy stationne en raison de l ' actionne …;2020-12-11 15:00:11
3;le train actuellement au vésinet - le pecq et en direction de marne - la - vallée – chessy stationne en raison d ' une gêne à …;2020-12-11 14:35:21
4;quand je suis arrivé à paris , en 1982 , ce rer b , dont le tronçon central venait d ' être ouvert , semblait une merveil …;2020-12-11 14:08:37
5;quand je suis arrivé à paris , en 1982 , ce rer b , dont le tronçon central venait d ' être ouvert , semblait une merveil …;2020-12-11 14:06:50
6;annonce de vente : maison poissy 5 pièce ( s ) 126 m2 - poissy |: a 20 min à pied de la gare rer / sncf de poissy dans u …;2020-12-11 13:38:03
7;je le répète : allez vous faire foutre . quelle journée de merde . déjà ce matin j ’ ai eu des problèmes de transports .…;2020-12-11 13:36:43
8;mdrr je me régale moi . pas d ’ amphi , pas de rer ou de metro en heure de pointe , des bonnes grasse mat;2020-12-11 13:15:00
9;le rer d mais quelle misère;2020-12-11 12:25:50
10;on peut aussi ajouter à ce constat que la puissance publique ne sait / peut plus se mettre en exécution ( pas uniqueme …;2020-12-11 11:51:23
11;j ’ ai même pas le rer d qui a glow up;2020-12-11 11:42:25
12;ton visage on dirais le rer d on veux pas de toi frère .;2020-12-11 11:38:30
13;eh mais y ’ a le chauffage dans les rer d où y ’ a le port usb putain je revis;2020-12-11 11:25:42
14;alors bien sûr , on peut regretter l ' imbrication des travaux , probablement trop inextricable pour être honnête . mais …;2020-12-11 11:20:56
15;le lobby cdgexpress et aéroports de paris ( adp ), le gestionnaire d ’ infrastructure , s ' assoient sur la décision du t …;2020-12-11 11:12:09
16;soyons demain à 14h30 pour manifester contre les lois liberticides et contre l ' islamophobie …;2020-12-11 10:43:09
17;la poutre de 300 tonnes qui s ’ est écroulée le 1er décembre sur les voies du rer c entre les stations austerlitz et …;2020-12-11 09:59:52
18;petit oublié d ' un w qui fait toute la différence !;2020-12-11 09:35:10
19;bachelot alors dites ça au ministre des transports ... rer et métros blin …;2020-12-11 09:34:28
20;annonce de vente : maison andrésy 3 pièce ( s ) 39 . 55 m2 * secteur fin d ' oise .! rer a - andresy |…;2020-12-11 09:17:33
21;c est plus ke ds le cinéma , sa fait 2 semaines ke ns vivons cela depuis l incident d rer c à paris austerli …;2020-12-11 08:52:03
22;le terminus du rer d .;2020-12-11 08:40:49
23;bon that ’ s it the world has progressed passed the need for rer d;2020-12-11 08:29:21
24;"eole "" ce n ' est pas un chantier mais 10 en même temps » dixit dir d ' opération du secteur défense . c …";2020-12-11 08:28:12
25;my life is a joke ma relation avec le rer d aura vraiment été une relation toxique jusqu ' au bout;2020-12-11 07:55:05
